"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"DIP-16_W7.62mm";1;"CDP1863";;;
2;"R1,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
3;"U2";"DIP-14_W7.62mm";1;"74HC14";;;
4;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"2.2uF";;;
5;"SW1";"SW_PUSH_6mm";1;"RESET";;;
6;"J2";"SWITCHCRAFT_PJRAN1X1U04X";1;"Audio";;;
7;"C3,C4";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"100nF";;;
8;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N914";;;
9;"Q1";"TO-92_Inline";1;"2N3907";;;
10;"R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"18";;;
11;"D3";"LED_D5.0mm";1;"POWER";;;
12;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"330nF";;;
13;"U1";"TO-220-3_Horizontal_TabDown";1;"LM7805_TO220";;;
14;"J1";"PinHeader_2x25_P2.54mm_Vertical_Seq";1;"Super ELF 50 Pin Connector";;;
15;"C6";"CP_Radial_D5.0mm_P2.50mm";1;"100uF";;;
16;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"10K";;;
17;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
18;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
19;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"120K";;;
20;"P1";"RCA_2x22_Edge_1";1;"~";;;
21;"SW2";"SW_Slide_SPDT_Straight_CK_OS102011MS2Q";1;"Switch";;;
22;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Speaker";;;
